yyyymm,ra_bex_PAPER,unc_bex_AnnualVolPercentage
7/31/1998,2.983821909,1.301433148
8/31/1998,4.968345234,2.069913246
9/30/1998,4.674857588,2.431172925
10/31/1998,3.579753023,2.434286885
11/30/1998,3.327087398,2.062609907
12/31/1998,3.157456393,2.09265352
1/31/1999,3.269216442,2.075374229
2/28/1999,3.348772075,1.897414019
3/31/1999,3.014677745,1.807627628
4/30/1999,3.160389809,1.792726406
5/31/1999,3.143420308,1.731581597
6/30/1999,2.925480624,1.705615536
7/31/1999,3.137563503,1.659165207
8/31/1999,3.124629294,1.80988466
9/30/1999,3.19924116,1.860817468
10/31/1999,2.862562014,1.78452763
11/30/1999,3.065405795,1.561846854
12/31/1999,3.055784609,1.317144704
1/31/2000,2.885976411,1.375046829
2/29/2000,2.968478109,1.644708826
3/31/2000,2.875419713,1.879561871
4/30/2000,2.988272126,1.957681273
5/31/2000,2.999412731,2.031613433
6/30/2000,2.879178677,1.985684711
7/31/2000,2.919849372,1.954810411
8/31/2000,2.821934344,2.096221321
9/30/2000,2.979108162,2.118494361
10/31/2000,2.959768087,2.178686237
11/30/2000,3.605205675,2.36980816
12/31/2000,3.336241911,2.497934683
1/31/2001,3.052225415,2.297130649
2/28/2001,3.629001759,2.44404206
3/31/2001,3.389138868,2.421214935
4/30/2001,3.081384893,2.139576879
5/31/2001,3.116934722,2.00498109
6/30/2001,2.933141299,1.923455731
7/31/2001,3.036933832,2.08657359
8/31/2001,3.317209142,2.218267781
9/30/2001,3.896598009,2.541073565
10/31/2001,4.22944875,2.51400943
11/30/2001,3.440716051,2.330180715
12/31/2001,3.316094955,2.061302292
1/31/2002,3.073877372,1.962758992
2/28/2002,3.107848981,2.084132647
3/31/2002,2.877977678,1.841697234
4/30/2002,3.601256339,2.563697412
5/31/2002,3.415915066,2.628377258
6/30/2002,3.610716762,2.450115931
7/31/2002,3.568530504,2.673916976
8/31/2002,3.959013804,2.733938423
9/30/2002,5.036910526,2.928312406
10/31/2002,3.801871471,2.935030114
11/30/2002,3.610577409,2.53509532
12/31/2002,3.794432402,2.616953996
1/31/2003,3.821713402,2.472199815
2/28/2003,3.818899457,2.526818165
3/31/2003,3.529795805,2.420977222
4/30/2003,3.012754729,2.119562855
5/31/2003,3.01614012,2.272153427
6/30/2003,3.056648145,2.236912394
7/31/2003,3.030673608,2.036942922
8/31/2003,3.040327779,2.010347864
9/30/2003,3.200771875,2.110778632
10/31/2003,2.810375504,1.83872197
11/30/2003,2.821637667,1.815434927
12/31/2003,2.889772391,1.824982337
1/31/2004,2.799898878,1.737464391
2/29/2004,2.678895233,1.657875653
3/31/2004,2.765860584,1.853852762
4/30/2004,2.780696699,1.615203288
5/31/2004,2.693549473,1.524831055
6/30/2004,2.681801741,1.642765829
7/31/2004,2.713103546,1.710971353
8/31/2004,2.693727982,1.854938544
9/30/2004,2.648812292,1.814452504
10/31/2004,2.725952665,1.868403079
11/30/2004,2.596653075,1.712600738
12/31/2004,2.626218621,1.745665989
1/31/2005,2.536167766,1.640995206
2/28/2005,2.516886862,1.59301153
3/31/2005,2.593935807,1.655257411
4/30/2005,2.593676689,1.778819154
5/31/2005,2.588658455,1.900706808
6/30/2005,2.59254408,1.970150467
7/31/2005,2.541219111,1.838037554
8/31/2005,2.592539625,1.976742102
9/30/2005,2.562984617,1.916113206
10/31/2005,2.646364482,2.028324835
11/30/2005,2.593786592,2.038766943
12/31/2005,2.56895777,2.006684641
1/31/2006,2.574067432,2.030953526
2/28/2006,2.534514228,1.953467487
3/31/2006,2.537956805,1.95597246
4/30/2006,2.54680333,1.94901872
5/31/2006,2.659464209,1.969916772
6/30/2006,2.522744628,1.986673399
7/31/2006,2.615070713,2.057244405
8/31/2006,2.566142876,2.066469922
9/30/2006,2.55462188,2.051914212
10/31/2006,2.574307717,2.119620345
11/30/2006,2.507407515,2.034954163
12/31/2006,2.53524813,2.003744261
1/31/2007,2.47939755,1.927620147
2/28/2007,2.60169288,2.038196864
3/31/2007,2.604302789,2.106349177
4/30/2007,2.608648901,2.018553953
5/31/2007,2.522302434,1.822900968
6/30/2007,2.656044626,1.943649689
7/31/2007,3.039787188,2.218084145
8/31/2007,2.896599029,2.194053908
9/30/2007,2.768423965,2.106740769
10/31/2007,2.785809162,2.114726252
11/30/2007,2.979226569,2.441885141
12/31/2007,3.202215881,2.584263438
1/31/2008,3.42724864,2.703199676
2/29/2008,3.50852161,2.758128301
3/31/2008,3.411643429,2.884509069
4/30/2008,3.137371919,2.604241018
5/31/2008,2.983657471,2.506463141
6/30/2008,3.242847092,2.582934923
7/31/2008,3.176572663,2.660749622
8/31/2008,3.190895438,2.789909196
9/30/2008,4.845806447,3.665090518
10/31/2008,8.030180681,4.23874995
11/30/2008,7.550046987,4.158082121
12/31/2008,5.12548,4.059778713
1/31/2009,6.698513912,3.907519539
2/28/2009,7.478525695,3.988194233
3/31/2009,6.13976948,4.130817262
4/30/2009,5.104376672,3.605983872
5/31/2009,4.00264875,3.228871225
6/30/2009,3.806997611,2.970646694
7/31/2009,3.633504646,2.728599241
8/31/2009,3.500333072,2.435934487
9/30/2009,3.414631475,2.284628087
10/31/2009,3.83451946,2.379946118
11/30/2009,3.300706144,2.217368213
12/31/2009,3.083287105,1.805438684
1/31/2010,3.222239895,1.85581594
2/28/2010,2.901058206,1.81114302
3/31/2010,2.83769269,1.572210121
4/30/2010,3.062487408,1.687997374
5/31/2010,3.624975506,2.133803461
6/30/2010,4.203935343,2.447667152
7/31/2010,3.165228761,2.125883978
8/31/2010,3.487762406,2.364247285
9/30/2010,3.32080315,2.324682204
10/31/2010,3.204859431,2.279111152
11/30/2010,3.336694413,2.266826383
12/31/2010,3.068465989,2.081352477
1/31/2011,2.999881513,1.845407551
2/28/2011,2.88692261,1.716117222
3/31/2011,2.789356513,1.671093813
4/30/2011,2.725325152,1.626335434
5/31/2011,2.938077124,2.051352229
6/30/2011,3.090217715,2.313331172
7/31/2011,3.346674726,2.105046273
8/31/2011,3.283544774,2.69769967
9/30/2011,5.684060958,2.87237321
10/31/2011,3.580280905,2.454433654
11/30/2011,3.332492217,2.489368752
12/31/2011,3.371927312,2.6191044
1/31/2012,3.13459491,2.470208166
2/29/2012,3.036039492,2.35067643
3/31/2012,2.881164115,2.28025425
4/30/2012,2.92276304,2.361238201
5/31/2012,3.418440252,2.623207442
6/30/2012,2.878733094,2.516890536
7/31/2012,3.06809445,2.552198174
8/31/2012,3.032520598,2.51436317
9/30/2012,2.870349082,2.364352946
10/31/2012,2.935516856,2.230188671
11/30/2012,2.806151689,2.348154236
12/31/2012,2.923880581,2.316125062
1/31/2013,2.755364923,2.20752901
2/28/2013,2.80275219,2.272287515
3/31/2013,2.745495041,2.274913575
4/30/2013,2.71098992,2.253660325
5/31/2013,2.860327325,2.220977284
6/30/2013,2.876688845,2.245666101
7/31/2013,2.780147231,2.126886384
8/31/2013,2.864632322,2.06268716
9/30/2013,2.869771997,2.143622698
10/31/2013,2.66826978,2.00601362
11/30/2013,2.713355748,1.984528279
12/31/2013,2.62844999,1.703994693
1/31/2014,2.809887807,1.86857432
2/28/2014,2.619881265,1.793421841
3/31/2014,2.623857286,1.730295526
4/30/2014,2.558654906,1.649542387
5/31/2014,2.554559248,1.731297331
6/30/2014,2.552955744,1.669189763
7/31/2014,2.713422155,1.722073831
8/31/2014,2.56069871,1.749931765
9/30/2014,2.724951247,1.831726554
10/31/2014,2.579082622,1.926323966
11/30/2014,2.676741863,2.003190389
12/31/2014,2.853565371,2.076867932
1/31/2015,3.002122311,2.322441663
2/28/2015,2.697824002,2.133498953
3/31/2015,2.754856604,2.234900578
4/30/2015,2.750278091,2.197777576
5/31/2015,2.777979037,2.312363927
6/30/2015,3.033920953,2.458618613
7/31/2015,2.768119302,2.446023731
8/31/2015,3.484412121,2.674685958
9/30/2015,3.29976965,2.733278377
10/31/2015,2.845311582,2.551851063
11/30/2015,2.874327085,2.526401338
12/31/2015,3.003440831,2.660753732
1/31/2016,3.012788164,2.783925021
2/29/2016,3.161655503,2.873366198
3/31/2016,2.826353005,2.598149669
